08:26:30.051 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: com.xpn.xwiki.XWikiException
08:26:30.055 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.web.SaveAction.save(SaveAction:181)
08:26:30.055 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.web.SaveAction
08:26:30.055 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
08:26:41.559 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.XWikiHibernateStore
08:26:41.569 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.XWikiCacheStore
08:26:41.569 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.XWikiCacheStore
08:26:41.569 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.XWiki
08:26:41.574 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.web.SaveAction
08:26:41.778 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 585.
08:27:00.783 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
08:27:00.792 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
08:27:00.798 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
08:27:00.809 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
08:27:01.170 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 5.666666666666666
08:27:02.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.351 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.351 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.358 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.358 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.359 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.359 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.412 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.415 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.428 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.429 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.444 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.466 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.470 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.471 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.471 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.535 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 5.666666666666666
08:27:02.535 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 5.666666666666666. PT: 1 seconds
08:27:02.536 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
08:27:02.585 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.586 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.624 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.636 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:02.637 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:03.413 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:03.414 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:03.461 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
08:27:03.462 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
