14:16:40.687 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: com.xpn.xwiki.XWikiException
14:16:40.691 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.wiki.internal.manager.DefaultWikiCreator.create(DefaultWikiCreator:79)
14:16:40.691 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.wiki.internal.manager.DefaultWikiCreator
14:16:40.691 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
14:16:41.747 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 562.
14:16:53.100 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
14:16:53.113 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
14:16:53.123 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
14:16:53.130 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
14:16:55.039 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 1 second: 4.5
14:16:56.158 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
14:16:56.158 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 3 seconds
14:16:56.158 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
14:16:56.233 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.352 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.362 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.486 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.495 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.663 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.667 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.668 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.675 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.689 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.707 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.708 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.709 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.784 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.894 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:56.988 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:57.042 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
14:16:57.082 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
14:16:57.082 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
